"","USAState","TotalCases","NewCases","TotalDeaths","NewDeaths","ActiveCases","Tot Cases/1M pop","Deaths/1M pop","TotalTests","Tests/1M pop"
"2","New York",319213,3991,24368,299,244278,16271,1242,959017,48883
"3","New Jersey",123717,2527,7742,204,114704,13929,872,260641,29345
"4","Massachusetts",66263,1952,3846,130,54299,9701,563,298994,43775
"5","Illinois",58505,2450,2559,102,55340,4563,200,299896,23390
"6","California",52556,781,2159,48,47060,1342,55,654985,16731
"7","Pennsylvania",49642,NA,2651,NA,46154,3881,207,235376,18401
"8","Michigan",43207,851,4020,154,23528,4339,404,207184,20807
"9","Florida",35463,735,1364,50,33413,1722,66,417762,20282
"10","Texas",30522,629,849,NA,17166,1095,30,380648,13651
"11","Louisiana",29140,429,1993,23,9844,6248,427,172858,37065
"12","Connecticut",28764,NA,2339,NA,26360,8031,653,100257,27993
"13","Georgia",28302,806,1173,7,27098,2748,114,168367,16350
"14","Maryland",24473,1001,1251,59,21705,4076,208,125522,20908
"15","Ohio",19335,592,1021,19,18194,1661,88,140506,12069
"16","Indiana",19295,665,1229,54,18052,2907,185,104141,15690
"17","Virginia",17731,830,616,35,14803,2107,73,112450,13365
"18","Colorado",15768,NA,820,NA,14389,2851,148,75259,13606
"19","Washington",15161,NA,832,NA,12478,2078,114,193981,26593
"20","Tennessee",12661,770,209,5,6734,1904,31,196276,29510
"21","North Carolina",11579,508,430,11,9341,1140,42,139475,13734
"22","Rhode Island",9289,327,296,17,8651,8791,280,69928,66181
"23","Iowa",8641,757,175,5,5310,2759,56,49727,15875
"24","Arizona",8364,402,348,18,7946,1204,50,77997,11228
"25","Missouri",8154,136,361,3,5875,1339,59,82152,13490
"26","Wisconsin",7660,346,334,7,4116,1326,58,83230,14404
"27","Mississippi",7441,229,291,10,3737,2490,97,74475,24918
"28","Alabama",7434,140,289,NA,7125,1528,59,96860,19911
"29","South Carolina",6489,231,267,11,1341,1309,54,61616,12433
"30","Minnesota",6228,498,395,24,3436,1127,71,79007,14294
"31","Nevada",5311,84,254,NA,2152,1817,87,54918,18789
"32","Delaware",5038,120,168,9,3324,5306,177,23112,24341
"33","Utah",4981,153,49,3,2747,1636,16,117804,38683
"34","Kentucky",4879,NA,248,NA,3509,1099,56,57648,12983
"35","Nebraska",4838,NA,73,NA,4743,2540,38,29557,15517
"36","District Of Columbia",4797,139,240,9,3891,7008,351,22004,32146
"37","Kansas",4634,98,140,2,3590,1593,48,33034,11357
"38","Oklahoma",3851,103,238,8,1212,983,61,63552,16220
"39","New Mexico",3513,NA,131,NA,2622,1679,63,71118,33988
"40","Arkansas",3372,51,72,8,1313,1128,24,50305,16821
"41","Oregon",2635,56,109,5,1666,646,27,60136,14732
"42","South Dakota",2588,63,21,NA,808,2994,24,18091,20932
"43","New Hampshire",2310,NA,81,NA,1249,1719,60,24349,18122
"44","Idaho",2035,NA,63,NA,885,1206,37,29335,17381
"45","West Virginia",1169,18,48,1,640,639,26,49146,26870
"46","North Dakota",1153,46,24,1,619,1533,32,31547,41940
"47","Maine",1152,29,56,1,407,864,42,20641,15487
"48","Vermont",886,7,51,1,835,1418,82,16591,26547
"49","Hawaii",619,NA,16,NA,71,435,11,32432,22807
"50","Wyoming",566,NA,7,NA,188,973,12,9306,15994
"51","Montana",455,2,16,NA,35,437,15,14635,14049
"52","Alaska",365,1,9,NA,95,494,12,21399,28976
